code,id,question,response
652hnk9k,self,climate_concern,2
652hnk9k,friend1,climate_concern,1
652hnk9k,friend2,climate_concern,2
652hnk9k,friend3,climate_concern,1
652hnk9k,GreenVoter,climate_concern,1
652hnk9k,AfDVoter,climate_concern,4
652hnk9k,P1,climate_concern,0
652hnk9k,P2,climate_concern,0
652hnk9k,P3,climate_concern,1
652hnk9k,P4,climate_concern,0
652hnk9k,self,gay_adoption,1
652hnk9k,friend1,gay_adoption,1
652hnk9k,friend2,gay_adoption,1
652hnk9k,friend3,gay_adoption,1
652hnk9k,GreenVoter,gay_adoption,1
652hnk9k,AfDVoter,gay_adoption,4
652hnk9k,P1,gay_adoption,0
652hnk9k,P2,gay_adoption,-1
652hnk9k,P3,gay_adoption,1
652hnk9k,P4,gay_adoption,0
652hnk9k,self,migration_enriches_culture,2
652hnk9k,friend1,migration_enriches_culture,2
652hnk9k,friend2,migration_enriches_culture,2
652hnk9k,friend3,migration_enriches_culture,2
652hnk9k,GreenVoter,migration_enriches_culture,2
652hnk9k,AfDVoter,migration_enriches_culture,5
652hnk9k,P1,migration_enriches_culture,0
652hnk9k,P2,migration_enriches_culture,0
652hnk9k,P3,migration_enriches_culture,1
652hnk9k,P4,migration_enriches_culture,-1
652hnk9k,self,govt_reduce_inequ,2
652hnk9k,friend1,govt_reduce_inequ,1
652hnk9k,friend2,govt_reduce_inequ,3
652hnk9k,friend3,govt_reduce_inequ,2
652hnk9k,GreenVoter,govt_reduce_inequ,2
652hnk9k,AfDVoter,govt_reduce_inequ,3
652hnk9k,P1,govt_reduce_inequ,-1
652hnk9k,P2,govt_reduce_inequ,-1
652hnk9k,P3,govt_reduce_inequ,1
652hnk9k,P4,govt_reduce_inequ,0
652hnk9k,self,name,652hnk9k
652hnk9k,friend1,name,PS
652hnk9k,friend2,name,MW
652hnk9k,friend3,name,LH
652hnk9k,GreenVoter,name,GreenVoter
652hnk9k,AfDVoter,name,AfDVoter
652hnk9k,P1,name,P1
652hnk9k,P2,name,P2
652hnk9k,P3,name,P3
652hnk9k,P4,name,P4
652hnk9k,self,perceived_distance,
652hnk9k,friend1,perceived_distance,71.17583859709698
652hnk9k,friend2,perceived_distance,25.179356624028344
652hnk9k,friend3,perceived_distance,50.60632371551998
652hnk9k,GreenVoter,perceived_distance,57.706152185014034
652hnk9k,AfDVoter,perceived_distance,298.5180061570826
652hnk9k,P1,perceived_distance,160.11246047700348
652hnk9k,P2,perceived_distance,262.1221089492453
652hnk9k,P3,perceived_distance,110.86027241532469
652hnk9k,P4,perceived_distance,183.69812192834198
652hnk9k,self,manhattan_distance,
652hnk9k,friend1,manhattan_distance,0.5
652hnk9k,friend2,manhattan_distance,0.25
652hnk9k,friend3,manhattan_distance,0.25
652hnk9k,GreenVoter,manhattan_distance,0.25
652hnk9k,AfDVoter,manhattan_distance,2.25
652hnk9k,P1,manhattan_distance,2.0
652hnk9k,P2,manhattan_distance,2.25
652hnk9k,P3,manhattan_distance,0.75
652hnk9k,P4,manhattan_distance,2.0
652hnk9k,self,euclidean_distance,
652hnk9k,friend1,euclidean_distance,1.4142135623730951
652hnk9k,friend2,euclidean_distance,1.0
652hnk9k,friend3,euclidean_distance,1.0
652hnk9k,GreenVoter,euclidean_distance,1.0
652hnk9k,AfDVoter,euclidean_distance,4.795831523312719
652hnk9k,P1,euclidean_distance,4.242640687119285
652hnk9k,P2,euclidean_distance,4.58257569495584
652hnk9k,P3,euclidean_distance,1.7320508075688772
652hnk9k,P4,euclidean_distance,4.242640687119285
t0az7zj6,self,climate_concern,1
t0az7zj6,friend1,climate_concern,1
t0az7zj6,friend2,climate_concern,1
t0az7zj6,friend3,climate_concern,2
t0az7zj6,GreenVoter,climate_concern,1
t0az7zj6,AfDVoter,climate_concern,5
t0az7zj6,P1,climate_concern,0
t0az7zj6,P2,climate_concern,0
t0az7zj6,P3,climate_concern,1
t0az7zj6,P4,climate_concern,0
t0az7zj6,self,gay_adoption,1
t0az7zj6,friend1,gay_adoption,1
t0az7zj6,friend2,gay_adoption,1
t0az7zj6,friend3,gay_adoption,2
t0az7zj6,GreenVoter,gay_adoption,1
t0az7zj6,AfDVoter,gay_adoption,4
t0az7zj6,P1,gay_adoption,0
t0az7zj6,P2,gay_adoption,-1
t0az7zj6,P3,gay_adoption,1
t0az7zj6,P4,gay_adoption,0
t0az7zj6,self,migration_enriches_culture,2
t0az7zj6,friend1,migration_enriches_culture,2
t0az7zj6,friend2,migration_enriches_culture,1
t0az7zj6,friend3,migration_enriches_culture,3
t0az7zj6,GreenVoter,migration_enriches_culture,1
t0az7zj6,AfDVoter,migration_enriches_culture,5
t0az7zj6,P1,migration_enriches_culture,0
t0az7zj6,P2,migration_enriches_culture,0
t0az7zj6,P3,migration_enriches_culture,1
t0az7zj6,P4,migration_enriches_culture,-1
t0az7zj6,self,govt_reduce_inequ,3
t0az7zj6,friend1,govt_reduce_inequ,2
t0az7zj6,friend2,govt_reduce_inequ,1
t0az7zj6,friend3,govt_reduce_inequ,3
t0az7zj6,GreenVoter,govt_reduce_inequ,2
t0az7zj6,AfDVoter,govt_reduce_inequ,3
t0az7zj6,P1,govt_reduce_inequ,-1
t0az7zj6,P2,govt_reduce_inequ,-1
t0az7zj6,P3,govt_reduce_inequ,1
t0az7zj6,P4,govt_reduce_inequ,0
t0az7zj6,self,name,t0az7zj6
t0az7zj6,friend1,name,OR
t0az7zj6,friend2,name,TD
t0az7zj6,friend3,name,AW
t0az7zj6,GreenVoter,name,GreenVoter
t0az7zj6,AfDVoter,name,AfDVoter
t0az7zj6,P1,name,P1
t0az7zj6,P2,name,P2
t0az7zj6,P3,name,P3
t0az7zj6,P4,name,P4
t0az7zj6,self,perceived_distance,
t0az7zj6,friend1,perceived_distance,48.27007354458868
t0az7zj6,friend2,perceived_distance,162.8158468945821
t0az7zj6,friend3,perceived_distance,90.00555538409837
t0az7zj6,GreenVoter,perceived_distance,32.526911934581186
t0az7zj6,AfDVoter,perceived_distance,374.1684112802683
t0az7zj6,P1,perceived_distance,200.0024999843752
t0az7zj6,P2,perceived_distance,306.00816982557836
t0az7zj6,P3,perceived_distance,124.77980605851253
t0az7zj6,P4,perceived_distance,214.76731594914529
t0az7zj6,self,manhattan_distance,
t0az7zj6,friend1,manhattan_distance,0.25
t0az7zj6,friend2,manhattan_distance,0.75
t0az7zj6,friend3,manhattan_distance,0.75
t0az7zj6,GreenVoter,manhattan_distance,0.5
t0az7zj6,AfDVoter,manhattan_distance,2.5
t0az7zj6,P1,manhattan_distance,2.0
t0az7zj6,P2,manhattan_distance,2.25
t0az7zj6,P3,manhattan_distance,0.75
t0az7zj6,P4,manhattan_distance,2.0
t0az7zj6,self,euclidean_distance,
t0az7zj6,friend1,euclidean_distance,1.0
t0az7zj6,friend2,euclidean_distance,2.23606797749979
t0az7zj6,friend3,euclidean_distance,1.7320508075688772
t0az7zj6,GreenVoter,euclidean_distance,1.4142135623730951
t0az7zj6,AfDVoter,euclidean_distance,5.830951894845301
t0az7zj6,P1,euclidean_distance,4.69041575982343
t0az7zj6,P2,euclidean_distance,5.0
t0az7zj6,P3,euclidean_distance,2.23606797749979
t0az7zj6,P4,euclidean_distance,4.47213595499958
hbj9lrar,self,climate_concern,1
hbj9lrar,friend1,climate_concern,1
hbj9lrar,friend2,climate_concern,2
hbj9lrar,friend3,climate_concern,1
hbj9lrar,GreenVoter,climate_concern,2
hbj9lrar,AfDVoter,climate_concern,4
hbj9lrar,P1,climate_concern,0
hbj9lrar,P2,climate_concern,0
hbj9lrar,P3,climate_concern,1
hbj9lrar,P4,climate_concern,0
hbj9lrar,self,gay_adoption,1
hbj9lrar,friend1,gay_adoption,1
hbj9lrar,friend2,gay_adoption,2
hbj9lrar,friend3,gay_adoption,1
hbj9lrar,GreenVoter,gay_adoption,2
hbj9lrar,AfDVoter,gay_adoption,3
hbj9lrar,P1,gay_adoption,0
hbj9lrar,P2,gay_adoption,-1
hbj9lrar,P3,gay_adoption,1
hbj9lrar,P4,gay_adoption,0
hbj9lrar,self,migration_enriches_culture,1.0
hbj9lrar,friend1,migration_enriches_culture,1.0
hbj9lrar,friend2,migration_enriches_culture,2.0
hbj9lrar,friend3,migration_enriches_culture,
hbj9lrar,GreenVoter,migration_enriches_culture,3.0
hbj9lrar,AfDVoter,migration_enriches_culture,4.0
hbj9lrar,P1,migration_enriches_culture,0.0
hbj9lrar,P2,migration_enriches_culture,0.0
hbj9lrar,P3,migration_enriches_culture,1.0
hbj9lrar,P4,migration_enriches_culture,-1.0
hbj9lrar,self,govt_reduce_inequ,1
hbj9lrar,friend1,govt_reduce_inequ,1
hbj9lrar,friend2,govt_reduce_inequ,2
hbj9lrar,friend3,govt_reduce_inequ,1
hbj9lrar,GreenVoter,govt_reduce_inequ,3
hbj9lrar,AfDVoter,govt_reduce_inequ,4
hbj9lrar,P1,govt_reduce_inequ,-1
hbj9lrar,P2,govt_reduce_inequ,-1
hbj9lrar,P3,govt_reduce_inequ,1
hbj9lrar,P4,govt_reduce_inequ,0
hbj9lrar,self,name,hbj9lrar
hbj9lrar,friend1,name,Nico
hbj9lrar,friend2,name,Moritz
hbj9lrar,friend3,name,Lisa
hbj9lrar,GreenVoter,name,GreenVoter
hbj9lrar,AfDVoter,name,AfDVoter
hbj9lrar,P1,name,P1
hbj9lrar,P2,name,P2
hbj9lrar,P3,name,P3
hbj9lrar,P4,name,P4
hbj9lrar,self,perceived_distance,
hbj9lrar,friend1,perceived_distance,38.95039582721842
hbj9lrar,friend2,perceived_distance,88.22660593197882
hbj9lrar,friend3,perceived_distance,67.90240141777107
hbj9lrar,GreenVoter,perceived_distance,126.14091110048737
hbj9lrar,AfDVoter,perceived_distance,391.5014257447032
hbj9lrar,P1,perceived_distance,331.24803991922937
hbj9lrar,P2,perceived_distance,460.79176189040516
hbj9lrar,P3,perceived_distance,96.40807762089236
hbj9lrar,P4,perceived_distance,470.74988746336084
hbj9lrar,self,manhattan_distance,
hbj9lrar,friend1,manhattan_distance,0.0
hbj9lrar,friend2,manhattan_distance,1.0
hbj9lrar,friend3,manhattan_distance,
hbj9lrar,GreenVoter,manhattan_distance,1.5
hbj9lrar,AfDVoter,manhattan_distance,2.75
hbj9lrar,P1,manhattan_distance,1.25
hbj9lrar,P2,manhattan_distance,1.5
hbj9lrar,P3,manhattan_distance,0.0
hbj9lrar,P4,manhattan_distance,1.25
hbj9lrar,self,euclidean_distance,
hbj9lrar,friend1,euclidean_distance,0.0
hbj9lrar,friend2,euclidean_distance,2.0
hbj9lrar,friend3,euclidean_distance,
hbj9lrar,GreenVoter,euclidean_distance,3.1622776601683795
hbj9lrar,AfDVoter,euclidean_distance,5.5677643628300215
hbj9lrar,P1,euclidean_distance,2.6457513110645907
hbj9lrar,P2,euclidean_distance,3.1622776601683795
hbj9lrar,P3,euclidean_distance,0.0
hbj9lrar,P4,euclidean_distance,2.6457513110645907
zhlebtjq,self,climate_concern,1
zhlebtjq,friend1,climate_concern,1
zhlebtjq,friend2,climate_concern,1
zhlebtjq,friend3,climate_concern,2
zhlebtjq,GreenVoter,climate_concern,1
zhlebtjq,AfDVoter,climate_concern,3
zhlebtjq,P1,climate_concern,0
zhlebtjq,P2,climate_concern,0
zhlebtjq,P3,climate_concern,1
zhlebtjq,P4,climate_concern,0
zhlebtjq,self,gay_adoption,1
zhlebtjq,friend1,gay_adoption,2
zhlebtjq,friend2,gay_adoption,1
zhlebtjq,friend3,gay_adoption,1
zhlebtjq,GreenVoter,gay_adoption,1
zhlebtjq,AfDVoter,gay_adoption,4
zhlebtjq,P1,gay_adoption,0
zhlebtjq,P2,gay_adoption,-1
zhlebtjq,P3,gay_adoption,1
zhlebtjq,P4,gay_adoption,0
zhlebtjq,self,migration_enriches_culture,1
zhlebtjq,friend1,migration_enriches_culture,2
zhlebtjq,friend2,migration_enriches_culture,1
zhlebtjq,friend3,migration_enriches_culture,2
zhlebtjq,GreenVoter,migration_enriches_culture,2
zhlebtjq,AfDVoter,migration_enriches_culture,5
zhlebtjq,P1,migration_enriches_culture,0
zhlebtjq,P2,migration_enriches_culture,0
zhlebtjq,P3,migration_enriches_culture,1
zhlebtjq,P4,migration_enriches_culture,-1
zhlebtjq,self,govt_reduce_inequ,1
zhlebtjq,friend1,govt_reduce_inequ,3
zhlebtjq,friend2,govt_reduce_inequ,2
zhlebtjq,friend3,govt_reduce_inequ,1
zhlebtjq,GreenVoter,govt_reduce_inequ,2
zhlebtjq,AfDVoter,govt_reduce_inequ,3
zhlebtjq,P1,govt_reduce_inequ,-1
zhlebtjq,P2,govt_reduce_inequ,-1
zhlebtjq,P3,govt_reduce_inequ,1
zhlebtjq,P4,govt_reduce_inequ,0
zhlebtjq,self,name,zhlebtjq
zhlebtjq,friend1,name,Mama
zhlebtjq,friend2,name,Annika
zhlebtjq,friend3,name,Ben
zhlebtjq,GreenVoter,name,GreenVoter
zhlebtjq,AfDVoter,name,AfDVoter
zhlebtjq,P1,name,P1
zhlebtjq,P2,name,P2
zhlebtjq,P3,name,P3
zhlebtjq,P4,name,P4
zhlebtjq,self,perceived_distance,
zhlebtjq,friend1,perceived_distance,119.4361754243663
zhlebtjq,friend2,perceived_distance,34.48187929913333
zhlebtjq,friend3,perceived_distance,76.68767828015137
zhlebtjq,GreenVoter,perceived_distance,80.15609770940699
zhlebtjq,AfDVoter,perceived_distance,438.02454860056804
zhlebtjq,P1,perceived_distance,333.22959187088645
zhlebtjq,P2,perceived_distance,401.2245744475593
zhlebtjq,P3,perceived_distance,52.56006455230268
zhlebtjq,P4,perceived_distance,425.2812643201419
zhlebtjq,self,manhattan_distance,
zhlebtjq,friend1,manhattan_distance,1.0
zhlebtjq,friend2,manhattan_distance,0.25
zhlebtjq,friend3,manhattan_distance,0.5
zhlebtjq,GreenVoter,manhattan_distance,0.5
zhlebtjq,AfDVoter,manhattan_distance,2.75
zhlebtjq,P1,manhattan_distance,1.25
zhlebtjq,P2,manhattan_distance,1.5
zhlebtjq,P3,manhattan_distance,0.0
zhlebtjq,P4,manhattan_distance,1.25
zhlebtjq,self,euclidean_distance,
zhlebtjq,friend1,euclidean_distance,2.449489742783178
zhlebtjq,friend2,euclidean_distance,1.0
zhlebtjq,friend3,euclidean_distance,1.4142135623730951
zhlebtjq,GreenVoter,euclidean_distance,1.4142135623730951
zhlebtjq,AfDVoter,euclidean_distance,5.744562646538029
zhlebtjq,P1,euclidean_distance,2.6457513110645907
zhlebtjq,P2,euclidean_distance,3.1622776601683795
zhlebtjq,P3,euclidean_distance,0.0
zhlebtjq,P4,euclidean_distance,2.6457513110645907
b4wvjphf,self,climate_concern,2
b4wvjphf,friend1,climate_concern,4
b4wvjphf,friend2,climate_concern,2
b4wvjphf,friend3,climate_concern,1
b4wvjphf,GreenVoter,climate_concern,1
b4wvjphf,AfDVoter,climate_concern,4
b4wvjphf,P1,climate_concern,0
b4wvjphf,P2,climate_concern,0
b4wvjphf,P3,climate_concern,1
b4wvjphf,P4,climate_concern,0
b4wvjphf,self,gay_adoption,1
b4wvjphf,friend1,gay_adoption,4
b4wvjphf,friend2,gay_adoption,3
b4wvjphf,friend3,gay_adoption,1
b4wvjphf,GreenVoter,gay_adoption,1
b4wvjphf,AfDVoter,gay_adoption,5
b4wvjphf,P1,gay_adoption,0
b4wvjphf,P2,gay_adoption,-1
b4wvjphf,P3,gay_adoption,1
b4wvjphf,P4,gay_adoption,0
b4wvjphf,self,migration_enriches_culture,3
b4wvjphf,friend1,migration_enriches_culture,5
b4wvjphf,friend2,migration_enriches_culture,4
b4wvjphf,friend3,migration_enriches_culture,2
b4wvjphf,GreenVoter,migration_enriches_culture,2
b4wvjphf,AfDVoter,migration_enriches_culture,5
b4wvjphf,P1,migration_enriches_culture,0
b4wvjphf,P2,migration_enriches_culture,0
b4wvjphf,P3,migration_enriches_culture,1
b4wvjphf,P4,migration_enriches_culture,-1
b4wvjphf,self,govt_reduce_inequ,3
b4wvjphf,friend1,govt_reduce_inequ,3
b4wvjphf,friend2,govt_reduce_inequ,5
b4wvjphf,friend3,govt_reduce_inequ,2
b4wvjphf,GreenVoter,govt_reduce_inequ,2
b4wvjphf,AfDVoter,govt_reduce_inequ,3
b4wvjphf,P1,govt_reduce_inequ,-1
b4wvjphf,P2,govt_reduce_inequ,-1
b4wvjphf,P3,govt_reduce_inequ,1
b4wvjphf,P4,govt_reduce_inequ,0
b4wvjphf,self,name,b4wvjphf
b4wvjphf,friend1,name,TM
b4wvjphf,friend2,name,NC
b4wvjphf,friend3,name,MC
b4wvjphf,GreenVoter,name,GreenVoter
b4wvjphf,AfDVoter,name,AfDVoter
b4wvjphf,P1,name,P1
b4wvjphf,P2,name,P2
b4wvjphf,P3,name,P3
b4wvjphf,P4,name,P4
b4wvjphf,self,perceived_distance,
b4wvjphf,friend1,perceived_distance,222.3803048833237
b4wvjphf,friend2,perceived_distance,141.0319112825179
b4wvjphf,friend3,perceived_distance,38.47076812334269
b4wvjphf,GreenVoter,perceived_distance,33.97057550292606
b4wvjphf,AfDVoter,perceived_distance,341.7133301467767
b4wvjphf,P1,perceived_distance,117.64352935882194
b4wvjphf,P2,perceived_distance,248.766959220874
b4wvjphf,P3,perceived_distance,103.07764064044152
b4wvjphf,P4,perceived_distance,150.7348665704123
b4wvjphf,self,manhattan_distance,
b4wvjphf,friend1,manhattan_distance,1.75
b4wvjphf,friend2,manhattan_distance,1.25
b4wvjphf,friend3,manhattan_distance,0.75
b4wvjphf,GreenVoter,manhattan_distance,0.75
b4wvjphf,AfDVoter,manhattan_distance,2.0
b4wvjphf,P1,manhattan_distance,2.5
b4wvjphf,P2,manhattan_distance,2.75
b4wvjphf,P3,manhattan_distance,1.25
b4wvjphf,P4,manhattan_distance,2.5
b4wvjphf,self,euclidean_distance,
b4wvjphf,friend1,euclidean_distance,4.123105625617661
b4wvjphf,friend2,euclidean_distance,3.0
b4wvjphf,friend3,euclidean_distance,1.7320508075688772
b4wvjphf,GreenVoter,euclidean_distance,1.7320508075688772
b4wvjphf,AfDVoter,euclidean_distance,4.898979485566356
b4wvjphf,P1,euclidean_distance,5.477225575051661
b4wvjphf,P2,euclidean_distance,5.744562646538029
b4wvjphf,P3,euclidean_distance,3.0
b4wvjphf,P4,euclidean_distance,5.477225575051661
g2gbaom7,self,climate_concern,1
