code,id,question,response
g2gbaom7,friend1,climate_concern,2
g2gbaom7,friend2,climate_concern,3
g2gbaom7,friend3,climate_concern,1
g2gbaom7,GreenVoter,climate_concern,2
g2gbaom7,AfDVoter,climate_concern,4
g2gbaom7,P1,climate_concern,0
g2gbaom7,P2,climate_concern,0
g2gbaom7,P3,climate_concern,1
g2gbaom7,P4,climate_concern,0
g2gbaom7,self,gay_adoption,1
g2gbaom7,friend1,gay_adoption,1
g2gbaom7,friend2,gay_adoption,2
g2gbaom7,friend3,gay_adoption,2
g2gbaom7,GreenVoter,gay_adoption,1
g2gbaom7,AfDVoter,gay_adoption,4
g2gbaom7,P1,gay_adoption,0
g2gbaom7,P2,gay_adoption,-1
g2gbaom7,P3,gay_adoption,1
g2gbaom7,P4,gay_adoption,0
g2gbaom7,self,migration_enriches_culture,2
g2gbaom7,friend1,migration_enriches_culture,2
g2gbaom7,friend2,migration_enriches_culture,3
g2gbaom7,friend3,migration_enriches_culture,3
g2gbaom7,GreenVoter,migration_enriches_culture,2
g2gbaom7,AfDVoter,migration_enriches_culture,4
g2gbaom7,P1,migration_enriches_culture,0
g2gbaom7,P2,migration_enriches_culture,0
g2gbaom7,P3,migration_enriches_culture,1
g2gbaom7,P4,migration_enriches_culture,-1
g2gbaom7,self,govt_reduce_inequ,1
g2gbaom7,friend1,govt_reduce_inequ,3
g2gbaom7,friend2,govt_reduce_inequ,4
g2gbaom7,friend3,govt_reduce_inequ,2
g2gbaom7,GreenVoter,govt_reduce_inequ,2
g2gbaom7,AfDVoter,govt_reduce_inequ,2
g2gbaom7,P1,govt_reduce_inequ,-1
g2gbaom7,P2,govt_reduce_inequ,-1
g2gbaom7,P3,govt_reduce_inequ,1
g2gbaom7,P4,govt_reduce_inequ,0
g2gbaom7,self,name,g2gbaom7
g2gbaom7,friend1,name,Delf
g2gbaom7,friend2,name,Stefan
g2gbaom7,friend3,name,Alex
g2gbaom7,GreenVoter,name,GreenVoter
g2gbaom7,AfDVoter,name,AfDVoter
g2gbaom7,P1,name,P1
g2gbaom7,P2,name,P2
g2gbaom7,P3,name,P3
g2gbaom7,P4,name,P4
g2gbaom7,self,perceived_distance,
g2gbaom7,friend1,perceived_distance,182.25301127056184
g2gbaom7,friend2,perceived_distance,300.4629071601045
g2gbaom7,friend3,perceived_distance,90.71141299074434
g2gbaom7,GreenVoter,perceived_distance,95.23108502828318
g2gbaom7,AfDVoter,perceived_distance,454.5539801527817
g2gbaom7,P1,perceived_distance,383.2555797861994
g2gbaom7,P2,perceived_distance,487.6189510414817
g2gbaom7,P3,perceived_distance,51.97730102436402
g2gbaom7,P4,perceived_distance,434.27336549574846
g2gbaom7,self,manhattan_distance,
g2gbaom7,friend1,manhattan_distance,0.75
g2gbaom7,friend2,manhattan_distance,1.75
g2gbaom7,friend3,manhattan_distance,0.75
g2gbaom7,GreenVoter,manhattan_distance,0.5
g2gbaom7,AfDVoter,manhattan_distance,2.25
g2gbaom7,P1,manhattan_distance,1.5
g2gbaom7,P2,manhattan_distance,1.75
g2gbaom7,P3,manhattan_distance,0.25
g2gbaom7,P4,manhattan_distance,1.5
g2gbaom7,self,euclidean_distance,
g2gbaom7,friend1,euclidean_distance,2.23606797749979
g2gbaom7,friend2,euclidean_distance,3.872983346207417
g2gbaom7,friend3,euclidean_distance,1.7320508075688772
g2gbaom7,GreenVoter,euclidean_distance,1.4142135623730951
g2gbaom7,AfDVoter,euclidean_distance,4.795831523312719
g2gbaom7,P1,euclidean_distance,3.1622776601683795
g2gbaom7,P2,euclidean_distance,3.605551275463989
g2gbaom7,P3,euclidean_distance,1.0
g2gbaom7,P4,euclidean_distance,3.4641016151377544
wt22ozae,self,climate_concern,1
wt22ozae,friend1,climate_concern,2
wt22ozae,friend2,climate_concern,4
wt22ozae,friend3,climate_concern,4
wt22ozae,GreenVoter,climate_concern,1
wt22ozae,AfDVoter,climate_concern,3
wt22ozae,P1,climate_concern,0
wt22ozae,P2,climate_concern,0
wt22ozae,P3,climate_concern,1
wt22ozae,P4,climate_concern,0
wt22ozae,self,gay_adoption,1
wt22ozae,friend1,gay_adoption,2
wt22ozae,friend2,gay_adoption,4
wt22ozae,friend3,gay_adoption,3
wt22ozae,GreenVoter,gay_adoption,1
wt22ozae,AfDVoter,gay_adoption,4
wt22ozae,P1,gay_adoption,0
wt22ozae,P2,gay_adoption,-1
wt22ozae,P3,gay_adoption,1
wt22ozae,P4,gay_adoption,0
wt22ozae,self,migration_enriches_culture,1
wt22ozae,friend1,migration_enriches_culture,4
wt22ozae,friend2,migration_enriches_culture,4
wt22ozae,friend3,migration_enriches_culture,3
wt22ozae,GreenVoter,migration_enriches_culture,2
wt22ozae,AfDVoter,migration_enriches_culture,5
wt22ozae,P1,migration_enriches_culture,0
wt22ozae,P2,migration_enriches_culture,0
wt22ozae,P3,migration_enriches_culture,1
wt22ozae,P4,migration_enriches_culture,-1
wt22ozae,self,govt_reduce_inequ,1
wt22ozae,friend1,govt_reduce_inequ,5
wt22ozae,friend2,govt_reduce_inequ,3
wt22ozae,friend3,govt_reduce_inequ,5
wt22ozae,GreenVoter,govt_reduce_inequ,3
wt22ozae,AfDVoter,govt_reduce_inequ,2
wt22ozae,P1,govt_reduce_inequ,-1
wt22ozae,P2,govt_reduce_inequ,-1
wt22ozae,P3,govt_reduce_inequ,1
wt22ozae,P4,govt_reduce_inequ,0
wt22ozae,self,name,wt22ozae
wt22ozae,friend1,name,Klaus
wt22ozae,friend2,name,Manfred
wt22ozae,friend3,name,Franz
wt22ozae,GreenVoter,name,GreenVoter
wt22ozae,AfDVoter,name,AfDVoter
wt22ozae,P1,name,P1
wt22ozae,P2,name,P2
wt22ozae,P3,name,P3
wt22ozae,P4,name,P4
wt22ozae,self,perceived_distance,
wt22ozae,friend1,perceived_distance,288.7064975579485
wt22ozae,friend2,perceived_distance,425.7011176630734
wt22ozae,friend3,perceived_distance,304.7924565660867
wt22ozae,GreenVoter,perceived_distance,102.38535573672621
wt22ozae,AfDVoter,perceived_distance,418.52918962686
wt22ozae,P1,perceived_distance,353.74035979403993
wt22ozae,P2,perceived_distance,466.82013928298505
wt22ozae,P3,perceived_distance,44.77544227266661
wt22ozae,P4,perceived_distance,466.608016635982
wt22ozae,self,manhattan_distance,
wt22ozae,friend1,manhattan_distance,2.25
wt22ozae,friend2,manhattan_distance,2.75
wt22ozae,friend3,manhattan_distance,2.75
wt22ozae,GreenVoter,manhattan_distance,0.75
wt22ozae,AfDVoter,manhattan_distance,2.5
wt22ozae,P1,manhattan_distance,1.25
wt22ozae,P2,manhattan_distance,1.5
wt22ozae,P3,manhattan_distance,0.0
wt22ozae,P4,manhattan_distance,1.25
wt22ozae,self,euclidean_distance,
wt22ozae,friend1,euclidean_distance,5.196152422706632
wt22ozae,friend2,euclidean_distance,5.5677643628300215
wt22ozae,friend3,euclidean_distance,5.744562646538029
wt22ozae,GreenVoter,euclidean_distance,2.23606797749979
wt22ozae,AfDVoter,euclidean_distance,5.477225575051661
wt22ozae,P1,euclidean_distance,2.6457513110645907
wt22ozae,P2,euclidean_distance,3.1622776601683795
wt22ozae,P3,euclidean_distance,0.0
wt22ozae,P4,euclidean_distance,2.6457513110645907
2e7dhfif,self,climate_concern,1
2e7dhfif,friend1,climate_concern,2
2e7dhfif,friend2,climate_concern,1
2e7dhfif,friend3,climate_concern,2
2e7dhfif,GreenVoter,climate_concern,1
2e7dhfif,AfDVoter,climate_concern,4
2e7dhfif,P1,climate_concern,0
2e7dhfif,P2,climate_concern,0
2e7dhfif,P3,climate_concern,1
2e7dhfif,P4,climate_concern,0
2e7dhfif,self,gay_adoption,1
2e7dhfif,friend1,gay_adoption,2
2e7dhfif,friend2,gay_adoption,1
2e7dhfif,friend3,gay_adoption,2
2e7dhfif,GreenVoter,gay_adoption,1
2e7dhfif,AfDVoter,gay_adoption,5
2e7dhfif,P1,gay_adoption,0
2e7dhfif,P2,gay_adoption,-1
2e7dhfif,P3,gay_adoption,1
2e7dhfif,P4,gay_adoption,0
2e7dhfif,self,migration_enriches_culture,3
2e7dhfif,friend1,migration_enriches_culture,3
2e7dhfif,friend2,migration_enriches_culture,1
2e7dhfif,friend3,migration_enriches_culture,3
2e7dhfif,GreenVoter,migration_enriches_culture,1
2e7dhfif,AfDVoter,migration_enriches_culture,5
2e7dhfif,P1,migration_enriches_culture,0
2e7dhfif,P2,migration_enriches_culture,0
2e7dhfif,P3,migration_enriches_culture,1
2e7dhfif,P4,migration_enriches_culture,-1
2e7dhfif,self,govt_reduce_inequ,3
2e7dhfif,friend1,govt_reduce_inequ,2
2e7dhfif,friend2,govt_reduce_inequ,1
2e7dhfif,friend3,govt_reduce_inequ,2
2e7dhfif,GreenVoter,govt_reduce_inequ,2
2e7dhfif,AfDVoter,govt_reduce_inequ,4
2e7dhfif,P1,govt_reduce_inequ,-1
2e7dhfif,P2,govt_reduce_inequ,-1
2e7dhfif,P3,govt_reduce_inequ,1
2e7dhfif,P4,govt_reduce_inequ,0
2e7dhfif,self,name,2e7dhfif
2e7dhfif,friend1,name,MG
2e7dhfif,friend2,name,AS
2e7dhfif,friend3,name,NP
2e7dhfif,GreenVoter,name,GreenVoter
2e7dhfif,AfDVoter,name,AfDVoter
2e7dhfif,P1,name,P1
2e7dhfif,P2,name,P2
2e7dhfif,P3,name,P3
2e7dhfif,P4,name,P4
2e7dhfif,self,perceived_distance,
2e7dhfif,friend1,perceived_distance,48.60041152089147
2e7dhfif,friend2,perceived_distance,129.71121771072848
2e7dhfif,friend3,perceived_distance,47.80167361086848
2e7dhfif,GreenVoter,perceived_distance,30.083217912982647
2e7dhfif,AfDVoter,perceived_distance,338.18929610500686
2e7dhfif,P1,perceived_distance,153.7172729396407
2e7dhfif,P2,perceived_distance,318.69264189811474
2e7dhfif,P3,perceived_distance,135.51752654177244
2e7dhfif,P4,perceived_distance,196.57314160383152
2e7dhfif,self,manhattan_distance,
2e7dhfif,friend1,manhattan_distance,0.75
2e7dhfif,friend2,manhattan_distance,1.0
2e7dhfif,friend3,manhattan_distance,0.75
2e7dhfif,GreenVoter,manhattan_distance,0.75
2e7dhfif,AfDVoter,manhattan_distance,2.5
2e7dhfif,P1,manhattan_distance,2.25
2e7dhfif,P2,manhattan_distance,2.5
2e7dhfif,P3,manhattan_distance,1.0
2e7dhfif,P4,manhattan_distance,2.25
2e7dhfif,self,euclidean_distance,
2e7dhfif,friend1,euclidean_distance,1.7320508075688772
2e7dhfif,friend2,euclidean_distance,2.8284271247461903
2e7dhfif,friend3,euclidean_distance,1.7320508075688772
2e7dhfif,GreenVoter,euclidean_distance,2.23606797749979
2e7dhfif,AfDVoter,euclidean_distance,5.477225575051661
2e7dhfif,P1,euclidean_distance,5.196152422706632
2e7dhfif,P2,euclidean_distance,5.477225575051661
2e7dhfif,P3,euclidean_distance,2.8284271247461903
2e7dhfif,P4,euclidean_distance,5.196152422706632
dcf9x3eh,self,climate_concern,1
dcf9x3eh,friend1,climate_concern,1
dcf9x3eh,friend2,climate_concern,2
dcf9x3eh,friend3,climate_concern,1
dcf9x3eh,GreenVoter,climate_concern,1
dcf9x3eh,AfDVoter,climate_concern,4
dcf9x3eh,P1,climate_concern,0
dcf9x3eh,P2,climate_concern,0
dcf9x3eh,P3,climate_concern,1
dcf9x3eh,P4,climate_concern,0
dcf9x3eh,self,gay_adoption,1
dcf9x3eh,friend1,gay_adoption,1
dcf9x3eh,friend2,gay_adoption,1
dcf9x3eh,friend3,gay_adoption,1
dcf9x3eh,GreenVoter,gay_adoption,2
dcf9x3eh,AfDVoter,gay_adoption,4
dcf9x3eh,P1,gay_adoption,0
dcf9x3eh,P2,gay_adoption,-1
dcf9x3eh,P3,gay_adoption,1
dcf9x3eh,P4,gay_adoption,0
dcf9x3eh,self,migration_enriches_culture,2
dcf9x3eh,friend1,migration_enriches_culture,1
dcf9x3eh,friend2,migration_enriches_culture,1
dcf9x3eh,friend3,migration_enriches_culture,2
dcf9x3eh,GreenVoter,migration_enriches_culture,2
dcf9x3eh,AfDVoter,migration_enriches_culture,5
dcf9x3eh,P1,migration_enriches_culture,0
dcf9x3eh,P2,migration_enriches_culture,0
dcf9x3eh,P3,migration_enriches_culture,1
dcf9x3eh,P4,migration_enriches_culture,-1
dcf9x3eh,self,govt_reduce_inequ,2
dcf9x3eh,friend1,govt_reduce_inequ,1
dcf9x3eh,friend2,govt_reduce_inequ,2
dcf9x3eh,friend3,govt_reduce_inequ,2
dcf9x3eh,GreenVoter,govt_reduce_inequ,3
dcf9x3eh,AfDVoter,govt_reduce_inequ,4
dcf9x3eh,P1,govt_reduce_inequ,-1
dcf9x3eh,P2,govt_reduce_inequ,-1
dcf9x3eh,P3,govt_reduce_inequ,1
dcf9x3eh,P4,govt_reduce_inequ,0
dcf9x3eh,self,name,dcf9x3eh
dcf9x3eh,friend1,name,Ago
dcf9x3eh,friend2,name,Paul
dcf9x3eh,friend3,name,Marijn
dcf9x3eh,GreenVoter,name,GreenVoter
dcf9x3eh,AfDVoter,name,AfDVoter
dcf9x3eh,P1,name,P1
dcf9x3eh,P2,name,P2
dcf9x3eh,P3,name,P3
dcf9x3eh,P4,name,P4
dcf9x3eh,self,perceived_distance,
dcf9x3eh,friend1,perceived_distance,64.35060217278468
dcf9x3eh,friend2,perceived_distance,60.23421416969519
dcf9x3eh,friend3,perceived_distance,53.862412292877266
dcf9x3eh,GreenVoter,perceived_distance,83.61674773458405
dcf9x3eh,AfDVoter,perceived_distance,486.26013863054175
dcf9x3eh,P1,perceived_distance,395.25911374939
dcf9x3eh,P2,perceived_distance,480.1353632833093
dcf9x3eh,P3,perceived_distance,57.472077247007064
dcf9x3eh,P4,perceived_distance,412.68510998096355
dcf9x3eh,self,manhattan_distance,
dcf9x3eh,friend1,manhattan_distance,0.5
dcf9x3eh,friend2,manhattan_distance,0.5
dcf9x3eh,friend3,manhattan_distance,0.0
dcf9x3eh,GreenVoter,manhattan_distance,0.5
dcf9x3eh,AfDVoter,manhattan_distance,2.75
dcf9x3eh,P1,manhattan_distance,1.75
dcf9x3eh,P2,manhattan_distance,2.0
dcf9x3eh,P3,manhattan_distance,0.5
dcf9x3eh,P4,manhattan_distance,1.75
dcf9x3eh,self,euclidean_distance,
dcf9x3eh,friend1,euclidean_distance,1.4142135623730951
dcf9x3eh,friend2,euclidean_distance,1.4142135623730951
dcf9x3eh,friend3,euclidean_distance,0.0
dcf9x3eh,GreenVoter,euclidean_distance,1.4142135623730951
dcf9x3eh,AfDVoter,euclidean_distance,5.5677643628300215
dcf9x3eh,P1,euclidean_distance,3.872983346207417
dcf9x3eh,P2,euclidean_distance,4.242640687119285
dcf9x3eh,P3,euclidean_distance,1.4142135623730951
dcf9x3eh,P4,euclidean_distance,3.872983346207417
euega2v7,self,climate_concern,2
euega2v7,friend1,climate_concern,2
euega2v7,friend2,climate_concern,2
euega2v7,friend3,climate_concern,1
euega2v7,GreenVoter,climate_concern,1
euega2v7,AfDVoter,climate_concern,4
euega2v7,P1,climate_concern,0
euega2v7,P2,climate_concern,0
euega2v7,P3,climate_concern,1
euega2v7,P4,climate_concern,0
euega2v7,self,gay_adoption,1
euega2v7,friend1,gay_adoption,1
euega2v7,friend2,gay_adoption,2
euega2v7,friend3,gay_adoption,1
euega2v7,GreenVoter,gay_adoption,2
euega2v7,AfDVoter,gay_adoption,5
euega2v7,P1,gay_adoption,0
euega2v7,P2,gay_adoption,-1
euega2v7,P3,gay_adoption,1
euega2v7,P4,gay_adoption,0
euega2v7,self,migration_enriches_culture,2
euega2v7,friend1,migration_enriches_culture,2
euega2v7,friend2,migration_enriches_culture,3
euega2v7,friend3,migration_enriches_culture,2
euega2v7,GreenVoter,migration_enriches_culture,2
euega2v7,AfDVoter,migration_enriches_culture,5
euega2v7,P1,migration_enriches_culture,0
euega2v7,P2,migration_enriches_culture,0
euega2v7,P3,migration_enriches_culture,1
euega2v7,P4,migration_enriches_culture,-1
euega2v7,self,govt_reduce_inequ,2
euega2v7,friend1,govt_reduce_inequ,3
euega2v7,friend2,govt_reduce_inequ,3
euega2v7,friend3,govt_reduce_inequ,2
euega2v7,GreenVoter,govt_reduce_inequ,2
euega2v7,AfDVoter,govt_reduce_inequ,4
euega2v7,P1,govt_reduce_inequ,-1
euega2v7,P2,govt_reduce_inequ,-1
euega2v7,P3,govt_reduce_inequ,1
euega2v7,P4,govt_reduce_inequ,0
euega2v7,self,name,euega2v7
euega2v7,friend1,name,JC
euega2v7,friend2,name,TM
euega2v7,friend3,name,LB
euega2v7,GreenVoter,name,GreenVoter
euega2v7,AfDVoter,name,AfDVoter
euega2v7,P1,name,P1
euega2v7,P2,name,P2
euega2v7,P3,name,P3
euega2v7,P4,name,P4
euega2v7,self,perceived_distance,
euega2v7,friend1,perceived_distance,64.03124237432849
euega2v7,friend2,perceived_distance,114.76933388322858
euega2v7,friend3,perceived_distance,58.66856057549052
euega2v7,GreenVoter,perceived_distance,25.495097567963924
euega2v7,AfDVoter,perceived_distance,357.5150346488942
euega2v7,P1,perceived_distance,246.56439321199645
euega2v7,P2,perceived_distance,335.538373364359
euega2v7,P3,perceived_distance,103.31021246711285
euega2v7,P4,perceived_distance,215.3555200128383
euega2v7,self,manhattan_distance,
euega2v7,friend1,manhattan_distance,0.25
euega2v7,friend2,manhattan_distance,0.75
euega2v7,friend3,manhattan_distance,0.25
euega2v7,GreenVoter,manhattan_distance,0.5
euega2v7,AfDVoter,manhattan_distance,2.75
euega2v7,P1,manhattan_distance,2.0
euega2v7,P2,manhattan_distance,2.25
euega2v7,P3,manhattan_distance,0.75
euega2v7,P4,manhattan_distance,2.0
euega2v7,self,euclidean_distance,
euega2v7,friend1,euclidean_distance,1.0
euega2v7,friend2,euclidean_distance,1.7320508075688772
euega2v7,friend3,euclidean_distance,1.0
euega2v7,GreenVoter,euclidean_distance,1.4142135623730951
euega2v7,AfDVoter,euclidean_distance,5.744562646538029
euega2v7,P1,euclidean_distance,4.242640687119285
euega2v7,P2,euclidean_distance,4.58257569495584
euega2v7,P3,euclidean_distance,1.7320508075688772
euega2v7,P4,euclidean_distance,4.242640687119285
